Dates,ACB,FPT,HPG
20200227,10916.388,30684.091,10897.436
20200228,10787.96,30190.954,10612.536
20200302,10787.96,30519.712,10588.794
20200303,10959.197,30629.298,10588.794
20200304,11044.816,30410.126,10612.536
20200305,10959.197,29916.989,10612.536
20200306,10830.769,29588.23,10636.277
20200309,9974.582,27560.889,9900.285
20200310,10359.866,28327.991,10280.152
20200311,10017.391,27834.854,9757.835
20200312,9460.87,26355.442,9140.551
20200313,9418.06,26382.839,9045.584
20200316,8947.157,26081.477,9069.326
20200317,9032.776,26574.614,9116.809
20200318,9075.585,26519.821,9354.226
20200319,9032.776,26136.27,9093.067
20200320,9161.204,26136.27,8831.909
20200323,8262.207,24328.101,8214.625
20200324,8390.635,24382.894,8119.658
20200325,8775.92,25204.789,8452.042
20200326,8433.445,24218.515,8048.433
20200327,8433.445,23615.791,7692.308
20200330,7791.304,22136.38,7763.533
20200331,7620.067,22519.931,8000.95
20200401,7962.542,23177.447,8190.883
20200403,8176.589,24437.687,8380.817
20200406,8818.729,26026.684,8950.617
20200407,8690.301,25917.098,9021.842
20200408,8647.492,25670.53,8879.392
20200409,8561.873,25670.53,8808.167
20200410,8476.254,25423.961,8926.876
20200413,8561.873,25478.754,9188.034
20200414,8561.873,27122.545,9472.934
20200415,8647.492,27451.303,9544.16
20200416,8733.11,27560.889,9615.385
20200417,8989.967,28054.026,9829.06
20200420,8861.538,28108.819,10066.477
20200421,8476.254,27012.959,9591.643
20200422,8733.11,27999.233,9876.543
20200423,8690.301,27944.44,10256.41
20200424,8690.301,27944.44,10493.827
20200427,8604.682,27780.061,10422.602
20200428,8690.301,27780.061,10161.443
20200429,8775.92,27834.854,10208.927
20200504,8690.301,27670.475,9971.51
20200505,8690.301,27889.647,10161.443
20200506,8904.348,28985.507,10541.311
20200507,9075.585,29314.265,11206.078
20200508,9161.204,29423.851,11111.111
20200511,9289.632,29588.23,11372.27
20200512,9332.441,29807.403,11229.82
20200513,9289.632,31096.408,11443.495
20200514,9161.204,30686.83,11372.27
20200515,9289.632,30245.747,11158.594
20200518,9332.441,30466.289,11918.329
20200519,9503.679,31033.396,12416.904
20200520,9503.679,30812.854,12559.354
20200521,9589.298,31064.902,12583.096
20200522,9589.298,30529.301,12939.221
20200525,9674.916,30529.301,12962.963
20200526,9974.582,30749.842,13485.28
20200527,9760.535,30245.747,12915.48
20200528,9803.344,30245.747,12915.48
20200529,9803.344,30214.241,13010.446
20200601,10745.151,30434.783,13129.155
20200602,10616.722,30245.747,12844.255
20200603,10916.388,30655.325,12796.771
20200604,10830.769,30497.795,12630.579
20200605,10787.96,30686.83,12844.255
20200608,10873.579,31096.408,13152.896
20200609,10916.388,30844.36,12867.996
20200610,10959.197,30749.842,12820.513
20200611,10488.294,28985.507,12108.262
20200612,10488.294,29615.627,12583.096
20200615,9974.582,28985.507,12060.779
20200616,10188.629,29363.579,12440.646
20200617,10145.819,29206.049,12464.387
20200618,10188.629,29363.579,12725.546
20200619,10445.485,29615.627,12986.705
20200622,10317.057,29615.627,12962.963
20200623,10274.247,29962.193,12820.513
20200624,10188.629,29741.651,12820.513
20200625,10145.819,29489.603,12962.963
20200626,10103.01,29521.109,12915.48
20200629,9803.344,29017.013,12654.321
20200630,9760.535,28764.965,12725.546
20200701,9931.773,29111.531,13010.446
20200702,9888.963,29080.025,13105.413
20200703,9846.154,29143.037,13057.93
20200706,10103.01,29489.603,13105.413
20200707,10145.819,29899.181,13461.538
20200708,10231.438,30056.711,13319.088
20200709,10402.676,30466.289,13366.572
20200710,10274.247,30119.723,13176.638
20200713,10231.438,30655.325,13129.155
20200714,10274.247,30592.313,13247.863
20200715,10274.247,30623.819,13319.088
20200716,10274.247,30623.819,13580.247
20200717,10616.722,30308.759,13556.505
20200720,10488.294,29867.675,13295.347
20200721,10531.104,30119.723,13342.83
20200722,10445.485,29867.675,13342.83
20200723,10359.866,30088.217,13390.313
20200724,9931.773,28922.495,12749.288
20200727,9332.441,27536.232,12321.937
20200728,9803.344,28796.471,12986.705
20200729,9503.679,28071.834,12393.162
20200730,9674.916,28449.905,12592.593
20200731,9632.107,28040.328,12364.672
20200803,9931.773,28922.495,13048.433
20200804,10145.819,29332.073,13105.413
20200805,10274.247,29615.627,13732.194
20200806,10188.629,29489.603,13703.704
20200807,10145.819,29678.639,13789.174
20200810,10188.629,29741.651,13846.154
20200811,10873.579,29615.627,13817.664
20200812,10873.579,29930.687,13846.154
20200813,10916.388,30214.241,13960.114
20200814,10830.769,30119.723,13732.194
20200817,11044.816,29615.627,13846.154
20200818,10959.197,29521.109,13760.684
20200819,10959.197,29521.109,13817.664
20200820,11575.652,29647.133,13732.194
20200821,11798.261,29867.675,13874.644
20200824,11686.957,30529.301,14131.054
20200825,11742.609,30781.348,13988.604
20200826,11798.261,30497.795,13789.174
20200827,11965.217,31411.468,13846.154
20200828,11909.565,31442.974,13846.154
20200831,11798.261,31190.926,13988.604
20200901,11742.609,31442.974,14131.054
20200903,11798.261,31758.034,14245.014
20200904,11742.609,31505.986,14216.524
20200907,11575.652,30560.807,13960.114
20200908,11464.348,31190.926,14045.584
20200909,11631.304,31001.89,13960.114
20200910,11631.304,31001.89,13988.604
20200911,11575.652,30970.384,13931.624
20200914,11798.261,31064.902,14017.094
20200915,11853.913,31505.986,14074.074
20200916,11798.261,31821.046,14074.074
20200917,11965.217,31505.986,14472.934
20200918,12076.522,32262.13,14643.875
20200921,12243.478,32262.13,14643.875
20200922,12410.435,32325.142,14558.405
20200923,12521.739,32199.118,14700.855
20200924,12354.783,31821.046,14615.385
20200925,12354.783,32010.082,14672.365
20200928,12577.391,32199.118,15042.735
20200929,12466.087,31632.01,15014.245
20200930,12521.739,31505.986,15042.735
20201001,12521.739,32010.082,15384.615
20201002,12800,31695.022,15213.675
20201005,13133.913,31821.046,15584.046
20201006,13356.522,31821.046,16096.866
20201007,13022.609,31758.034,15840.456
